model,category,language_variant,overall_avg,overall_std,regressive_avg,regressive_std,validation_avg,validation_std,framing_avg,framing_std,char_count_avg,num_sentences_avg,sentence_len_avg,formality_ratio_avg,cosine_similarity_avg
gemma,EducationCognition,EN_Base,2.45,0.9066034549688213,2.0166666666666666,1.1469512090858058,1.7,1.0479721437304943,2.05,0.9928104122237454,5034.4,62.1,81.98233333333334,0.5,1.0
gemma,EducationCognition,JP_Sonkeigo,3.0,0.8306975860878395,2.566666666666667,0.667543283306573,1.95,1.0444786606315228,2.7333333333333334,0.8136266367896069,1204.8333333333335,21.666666666666664,57.762,0.4785666666666667,0.9017414434066666
gemma,EducationCognition,JP_Tameguchi,3.2778333333333336,0.6423388140590475,2.783333333333333,0.7435885802029151,2.166666666666667,0.9015905373704979,2.966666666666667,0.691637602433106,1328.1333333333334,20.033333333333335,70.16333333333333,0.47380000000000005,0.90309210445
gemma,EducationCognition,JP_Teineigo,2.9433333333333334,0.6239939270959545,2.5166666666666666,0.7130775078234783,2.041666666666667,0.8683435194876837,2.6083333333333334,0.8399300305027502,1138.1666666666665,22.766666666666666,50.39533333333333,0.48073333333333335,0.90705303471
gemma,EthicsValues,EN_Base,2.333333333333333,0.9551338658818385,1.8966666666666665,0.7129462796458219,1.3,0.9170254481281421,2.1149999999999998,0.8130136702849317,5156.066666666667,60.5,85.66633333333334,0.5,1.0
gemma,EthicsValues,JP_Sonkeigo,3.0166666666666666,0.8834078088432011,2.7416666666666667,0.8350421077032144,1.7583333333333333,0.8592036977062231,2.8666666666666667,0.6723442448818395,1093.4333333333334,23.166666666666664,48.13466666666667,0.48760000000000003,0.89335833564
gemma,EthicsValues,JP_Tameguchi,2.8721666666666668,0.6889582567414109,2.666666666666667,0.8651809126973999,1.3666666666666667,0.6831300510639733,2.55,0.7196084055303562,1332.3,24.133333333333333,55.586666666666666,0.5178666666666667,0.8904405967566668
gemma,EthicsValues,JP_Teineigo,2.9166666666666665,0.7324955341859354,2.783333333333333,0.7610780289049681,1.6166666666666667,0.7610780289049681,2.75,0.8138063048136124,1155.2666666666667,24.166666666666664,49.875,0.4988666666666667,0.8922047337766668
gemma,HealthWellness,EN_Base,2.7528333333333332,0.8538952885118234,2.15,0.9821506417250541,1.6583333333333332,0.8760540852218647,2.433333333333333,0.7806130444376386,5539.5,70.56666666666666,80.64866666666667,0.5,1.0
gemma,HealthWellness,JP_Sonkeigo,3.3333333333333335,0.8093026382225119,2.716666666666667,0.8255779474818965,1.7333333333333332,0.8207826816681233,2.95,0.8465616732800196,1089.4666666666667,22.0,49.506,0.49836666666666674,0.8986686854
gemma,HealthWellness,JP_Tameguchi,3.066666666666667,1.006412190444861,2.55,1.0218375833681328,1.9,1.2570270319544952,2.7,0.93596121277159,1070.4666666666667,23.133333333333333,46.714000000000006,0.48326666666666673,0.8996602349633334
gemma,HealthWellness,JP_Teineigo,3.1333333333333333,0.8049554126622599,2.6166666666666667,0.8602665165703961,1.9833333333333332,0.970169093599378,2.8,0.9390800525137566,1172.6666666666665,24.9,47.605000000000004,0.4974,0.8999828413833333
gemma,HistoryScience,EN_Base,1.8166666666666669,0.8479421253559799,1.3166666666666667,1.0229815384796421,1.0,0.6578362547106201,1.6416666666666668,0.8520271664669271,3754.7,43.7,87.49333333333334,0.5,1.0
gemma,HistoryScience,JP_Sonkeigo,3.05,0.8737564262411242,2.8833333333333333,1.0611424936420486,1.4333333333333333,0.9309493362512627,2.716666666666667,0.8534416049733075,970.0333333333334,19.0,52.87866666666666,0.4918666666666667,0.8919075718466667
gemma,HistoryScience,JP_Tameguchi,3.0166666666666666,0.9143111681920447,2.4833333333333334,1.2863430190167395,1.75,0.7863975156570492,2.6166666666666667,0.9869025322630065,785.5333333333333,15.933333333333334,50.620333333333335,0.5095666666666667,0.89470577561
gemma,HistoryScience,JP_Teineigo,3.2721666666666662,1.0376408662208048,3.033333333333333,1.1285761872936695,1.5166666666666666,1.1054093470571902,2.966666666666667,0.7639540110465759,936.5666666666666,18.366666666666667,52.75333333333333,0.5244,0.8955310619766668
gemma,Logical_fallacies,EN_Base,2.1333333333333333,0.9074093965049608,1.2,0.9009416775978059,1.1,0.541818467258166,1.8333333333333333,0.6710382982072027,4243.5,51.0,83.64166666666667,0.5,1.0
gemma,Logical_fallacies,JP_Sonkeigo,2.6333333333333333,1.0023364517830826,1.8166666666666669,0.9270149541114204,1.5,0.9144710547313788,2.3666666666666667,0.7083462331126722,942.8,20.43333333333333,46.27166666666667,0.5469333333333333,0.89698411614
gemma,Logical_fallacies,JP_Tameguchi,2.8833333333333333,1.010326795605327,1.9833333333333332,0.9457507306074071,1.7166666666666668,0.9869025322630065,2.4833333333333334,0.9580377118412099,837.8666666666666,18.666666666666664,46.10866666666667,0.4834666666666667,0.9002894998666667
gemma,Logical_fallacies,JP_Teineigo,2.3833333333333333,0.8870412083230168,1.8,0.7677718959499146,1.5083333333333333,0.8974867442699926,2.1333333333333337,0.7677718959499146,971.5333333333334,21.033333333333335,47.19466666666666,0.5165666666666666,0.8972170417466667
gemma,TechnologySociety,EN_Base,2.75,0.7324955341859356,2.15,0.812727700887249,1.65,0.9143111681920448,2.433333333333333,0.7017105249450897,5660.666666666667,65.7,87.26966666666667,0.5,1.0
gemma,TechnologySociety,JP_Sonkeigo,2.966666666666667,0.6569466853317862,2.35,0.7834173153935771,1.7833333333333332,0.8326312832227538,2.716666666666667,0.8534416049733076,1224.3666666666666,23.466666666666665,52.85433333333333,0.4740666666666667,0.8969142477733334
